"data","station","N_10","S_10","N_max","N_KS","S_KS","alpha_par","logk_par","AIC_par","BIC_par","alpha_exp","logk_exp","logb_exp","AIC_exp","BIC_exp"
"metaT",26,18044,587,673,17504,533,1.69491498602008,1.22734414883019,4149.58072634612,4158.13776919445,1.4356337763782,1.15714439055339,-2.88961726786394,4150.83812229061,4163.67368656311
"metaT",30,59019,535,2876,58769,510,1.00101602032658,1.40404942322503,5339.61959934141,5348.08842079284,0.493040729202267,1.0985696362193,-3.07707816438578,5328.51501175117,5341.21824392833
"metaT",36,53138,580,4115,50911,402,1.19515574476582,1.52611410723965,4162.69962818217,4170.69253235941,1.11656858240702,1.49253729697652,-4.14364397975772,4164.24815209357,4176.23750835943
"metaT",38,57538,432,4293,55899,326,1.74909746950882,2.09239786026614,3805.52382729185,3813.09762205458,1.02581667674929,1.87861585847634,-3.20770701015292,3805.81722344498,3817.17791558908
"metaT",39,116885,640,5953,116715,623,1.34226413854233,1.87882265349275,7201.91358288482,7210.7826759224,1.24035277407734,1.84188558727355,-4.2193767710052,7203.27855449611,7216.58219405247
"metaT",41,115205,325,20954,115037,309,0.898121263196354,1.65317745534438,3728.98896186183,3736.45564441563,0.793759799790593,1.58746087892843,-4.48982666218146,3729.63216386382,3740.83218769451
"metaT",46,37556,423,18633,36081,303,1.25364553118662,1.26866402925049,2726.7932131203,2734.22067873131,1.25362871177921,1.26865355396196,-11.3714218589262,2728.79321321536,2739.93441163189
"metaT",51,16255,343,810,16255,343,1.68045906329059,1.44812792760058,3029.68515431754,3037.36061521188,1.46234069227059,1.3900542155387,-3.18780401427451,3031.26832737323,3042.78151871473
"metaT",52,35076,399,5775,32663,243,1.7464094293055,1.88695807224413,2608.93486910218,2615.92099198886,1.74639936170209,1.88695387341177,-11.12404361029,2610.93486912713,2621.41405345716
"metaT",64,186561,1900,7930,184310,1702,1.55781621760002,1.74740029774253,17780.4255512697,17791.3046698879,1.52584563383533,1.73769249749153,-4.52586749728842,17782.2634104754,17798.5820884028
"metaT",65,196912,1094,10359,168419,307,2.19601563845296,2.71965735776565,4259.61439097129,4267.06808646646,2.19341603711375,2.7191719479147,-6.2788158329615,4261.6143382607,4272.79488150347
"metaT",66,1131535,1774,79918,1096568,947,2.14038832976549,3.05664029526622,14671.8780391092,14681.5846372956,2.14041826781036,3.05665143604165,-12.5279512543188,14673.8780391432,14688.4379364228
"metaT",67,165138,827,27167,165138,827,0.884944108716951,0.910112395653918,7196.44837036167,7205.88397975172,0.883751823218279,0.909312142524143,-6.49453406085548,7198.4307037576,7212.58411784267
"metaT",68,106815,484,5262,106174,430,1.11330444118438,1.87689025974475,5260.8365957479,5268.96416616527,0.461270674966601,1.519901053152,-3.30285492838236,5251.33200343592,5263.52335906198
"metaT",70,82456,669,7704,82456,669,1.51329752313836,1.80220213803883,7224.21116307843,7233.22273119868,1.46112071931625,1.78578689431058,-4.37368641388841,7226.06184777645,7239.57919995684
"metaT",72,144734,488,36516,143910,421,0.945266153565923,1.69993069202403,5079.95547442757,5088.04074009493,0.82886652733715,1.63160538739371,-4.39287476781197,5080.15128168914,5092.27918019019
"metaT",76,68797,519,2807,68677,507,1.55076049325536,1.8842790488102,5626.4579033016,5634.91492530879,1.40700358491323,1.84101146864467,-3.91649602753907,5628.01468110686,5640.70021411764
"metaT",78,77631,374,9073,76446,282,1.09884390786083,1.7079350698921,3246.14686852429,3253.43068266616,1.07959562504572,1.69860992667598,-5.21140818368112,3248.07465316013,3259.00037437294
"metaT",80,1903758,8077,9512,1653716,2751,2.50664999123286,2.84725816565203,38716.3344578589,38728.1738973807,1.6937339588732,2.70584667040781,-3.71599403251792,38714.2813268252,38732.040486108
"metaT",81,237523,1005,19092,235391,816,0.690160748448994,1.12369070526148,8828.78645479731,8838.19528350724,0.568656099233247,1.02191542892908,-4.20688832481129,8820.29580308298,8834.40904614787
"metaT",82,403572,1462,33940,386245,703,0.979327905871052,1.95884785157574,9216.69724252951,9225.80795631313,0.830993924442111,1.87621291164714,-4.44724139552159,9214.9936501604,9228.65972083583
"metaT",84,17062109,41643,45449,16475748,26583,2.27145062267041,2.83459794584723,379967.14899915,379983.525053536,2.20774718722236,2.8233357404197,-4.95699002709069,379968.143719983,379992.707801561
"metaT",85,21002605,31165,86566,20732406,23356,2.16405325375972,2.97294164750243,352005.265330379,352021.382548758,2.16405367872774,2.9729416612452,-12.6779116315085,352007.265330449,352031.441158017
"metaT",92,386463,4780,21658,369512,3432,1.37565295790543,1.59115354838878,34817.0371260706,34829.3189229918,1.34328485193505,1.57944162622728,-4.51263798910013,34818.4291382089,34836.8518335907
"metaT",98,74707,304,13078,72921,211,1.38493822548321,2.1637606858738,2695.78812960526,2702.49184587222,1.28081713730321,2.12723216283342,-4.46911551027769,2697.59892045647,2707.6544948569
"metaT",100,350943,3782,3567,328118,2434,1.56365929453336,1.8295082040511,26316.1374641006,26327.7320466477,1.39421476357585,1.77938934223599,-3.76395478023496,26315.4663766429,26332.8582504636
"metaT",102,571262,1649,43634,534032,592,1.22747055982914,2.41932953487785,8505.63743933074,8514.4044526005,1.16426484573597,2.39345184288118,-5.11486502797051,8507.17921852338,8520.32973842803
"metaT",109,114991,1115,5229,114991,1115,1.2005926418005,1.50211197041178,11396.8967212925,11406.9299406603,0.990003943559439,1.4112396000819,-3.56681589278949,11394.4172013895,11409.4670304412
"metaT",110,76322,593,4819,76322,593,1.20257137563358,1.61188199991092,6359.33884109115,6368.10922988915,0.992266039703096,1.52334145368386,-3.65761772975449,6358.83683843466,6371.99242163165
