"data","station","S","N","Nmean","Nvar","zeta","alpha","logk","BIC_betaprime","BIC_LN"
"metaT",137,672,158.618524997633,0.236039471722668,0.506316189413512,1.44902720126235,0.439785129927544,-1.0789296686339,-959.92146944213,-965.919867989152
"metaT",138,558,85.7054546912975,0.153594004823114,0.302348831507379,3.21909519018113,0.302026781839733,-1.79468853818239,-1518.6371876696,-1465.36746934917
"metaT",142,506,49.0564719589552,0.0969495493259984,0.292538777442519,2.48549297378097,0.840383667342493,-1.67205379160105,-1966.12815181199,-1933.35334378215
"metaT",143,520,65.1976659881634,0.125380126900314,0.133178536835737,3.61692801669272,0.490613493866258,-1.76921502765211,-1485.65255469474,-1455.16886690506
"metaT",144,579,22.1083874358046,0.0381837434124432,0.00237146132344506,2.45699264599824,1.52343655381113,-1.61768730476404,-2704.86736060725,-2704.18834088833
"metaT",145,1761,238.270901549518,0.135304316609607,0.50254570458541,1.44252125284155,0.335286250474348,-1.44615148840603,-5066.6784968661,-5077.43954769066
"metaT",146,666,82.347994659022,0.123645637626159,0.0412517668873773,1.84587111982055,0.491495467238507,-1.38631004024554,-1633.08621184973,-1640.02128058134
"metaT",147,602,72.331813560975,0.120152514220889,0.0414740637590548,2.33743897333743,0.644021871548969,-1.42672416891382,-1503.23175945729,-1503.39322403438
"metaT",148,638,72.7236405044956,0.11398689734247,0.0457354881876824,2.22592446570471,0.726358132645324,-1.40030515932778,-1685.31106197646,-1681.54667635819
"metaT",149,971,77.6500789750258,0.079969185350181,0.0786075752544284,1.36701700338143,0.912299273194707,-1.29225663499001,-3384.49646298981,-3380.3673518028
"metaT",150,727,82.7766146017022,0.113860542780883,0.0561877432908634,4.22198019383631,0.363094271534768,-1.90289585203195,-2063.22522427303,-2035.70774588647
"metaT",151,516,103.440414928881,0.200465920404808,0.219629569599179,3.68434925406362,0.0116900272551277,-1.90546402885641,-983.673425215333,-962.543563142196
"metaT",152,1734,427.798306723362,0.246711826253381,0.417281958995983,1.38752359096621,0.655174200633384,-0.900888821358828,-2062.85983698482,-2090.016331232
"metaT",155,45131,18118.9986293167,0.401475673690294,1.07335702747212,1.70577456835432,0.536953511092105,-0.86046442580159,-14725.5922435488,-14051.4180388959
"metaT",158,8855,922.986073513483,0.104233322813493,0.553553741976127,6.66666666666667,0.160326137053471,-2.53578601550243,-37515.5279697727,-35989.1945365793
"metaT",168,307,57.2426516901831,0.186458148827958,0.483072612752481,6.66666666666667,-0.102142599452596,-2.59849251631301,-1025.94393312445,-961.078946762815
"metaT",173,84532,8405.09350755121,0.0994309079112195,0.180986944064504,5.17590675646761,0.169709658693081,-2.25231937441809,-292243.890529165,-286658.434478101
"metaT",175,40702,89267.9998087042,2.19320917421022,32.8023082766471,1.14275038179757,0.463884791223564,0.0132748973567163,121512.451158133,122077.849473389
"metaT",178,537,173.52367316691,0.323135331781956,1.58397287248144,3.98088072217,-0.114562562551255,-2.08040009193721,-1046.8318444972,-986.657392186492
"metaT",180,3172,678.699972782989,0.213965943500312,1.89301205813507,6.66666666666667,-0.0496363816587128,-2.68336302062431,-12872.3921822557,-11897.7980381303
