"station","N_10","S_10","nmin","zeta","zeta_low","zeta_high","alpha","alpha_low","alpha_high","logk","logk_low","logk_high","logN_mean","logN_low","logN_high","KS","p_KS","CvM","p_CvM","data"
135,32849,994,10,0.161370840917731,0.145965751349068,0.186355592993997,0.54522302034903,0.347883394017703,0.880347124897905,0.803879903459274,0.28263350108853,1.1456481897199,4.53537761756791,4.4610916540333,4.68473094025905,1.01861267273372,0.18725,954.625923003261,0.329,"metaG"
136,77672,1528,10,0.135992211892972,0.12709438298158,0.147729609263677,0.223649926623252,0.109128995457193,0.389664801673633,0.727844404467523,0.270147068189192,1.0247691362021,4.95509496306579,4.82403108560382,5.28896428807724,1.00954766249626,0.73,1477.88643020065,0.5175,"metaG"
137,67707,1604,10,0.121924144445472,0.11364321982142,0.133602115157152,0.357289554597281,0.224364549460327,0.556390750075293,0.919769047072298,0.621776769481077,1.17166130985589,4.88818407984254,4.79559294049446,5.09451346984412,1.0232347347612,0.011,1552.82562419362,0.2615,"metaG"
138,27915,917,10,5.05050505050505,0.18313823873359,5.05050505050505,0.803149779883301,0.566677604041468,1.29232314027739,0.341045439889918,0.210583948487059,1.28651336788178,4.43144702450311,4.3784882938344,4.51343635600694,1.01930554920039,0.36775,878.436873024794,0.86375,"metaG"
142,21203,749,10,0.213593929635158,0.171573968573437,0.281646146996224,1.12739518282544,0.709561188440377,1.94033404508328,1.26344689101717,0.943865163587307,1.55975841752782,4.33410877152811,4.28936483617132,4.39919287585091,1.02645514281354,0.04925,720.274787158779,0.37175,"metaG"
143,22636,749,10,0.207524350357931,0.172337153489626,0.264813877391791,1.02409676079616,0.643644852317893,1.7399782074677,1.20641927487441,0.872728487250038,1.50108977191624,4.34061285469431,4.29143378981523,4.41196044213647,1.01390049633072,0.6985,719.286459297788,0.48225,"metaG"
144,49483,1498,10,0.171097127632874,0.154450498391137,0.194644032705087,0.669635214598682,0.45985033838426,0.977646210700134,1.09440717781226,0.843808929010181,1.31358038416324,4.72524197575083,4.66947936079138,4.82447401818451,1.01125125534915,0.534,1447.34356393958,0.143,"metaG"
145,218129,2700,10,0.196858413869175,0.189681650574241,0.197724371090481,0.0509293926102683,0.0266906470595057,0.0802330187984291,-1.62198723057325,-1.72265638381138,-1.30128931237285,5.3742404175552,5.17616262220593,5.91641928149298,1.05817650629129,0.00025,2698.30106940033,0.001,"metaG"
146,57817,1495,10,0.15021400112525,0.138339496020152,0.168363431870877,0.494846566107902,0.32954691254177,0.752729666726044,1.09666381087155,0.859598722454714,1.32108182063639,4.81269799607205,4.73747412598577,4.96351240868478,1.00821289707733,0.88575,1448.29989876107,0.31375,"metaG"
147,32451,1041,10,0.161626656000536,0.144097272003671,0.188474775610841,0.636782208049377,0.404559257413319,1.00787826383819,0.974555839925354,0.612985552219716,1.26674022460013,4.54937119087848,4.48231428362124,4.66931432110966,1.01668973285103,0.2635,1004.40991787228,0.09275,"metaG"
148,47179,1357,10,0.0864457087964,0.0777881765547546,0.101763294277483,0.803298916921875,0.565408454924184,1.21286246469608,1.33470556255142,1.13993722600565,1.55644309651335,4.69716179720012,4.6467190359971,4.78062851689586,1.01896915839871,0.0855,1317.72780813996,0.1135,"metaG"
149,78460,2775,10,0.190146747548039,0.190146747173845,0.190146747548041,0.460555460607753,0.460007905520367,0.460555460607753,-5.1164885325931,-5.11648853259312,-5.116488532518,Inf,4.87288943631392,5.06097625288687,1.03581485974425,0.00025,2694.08706492957,0.01075,"metaG"
150,41421,1306,10,0.201785852150009,0.175734117255087,0.241244904755553,1.01284376901286,0.712628523331789,1.50516567042951,1.31606279420697,1.09758690110903,1.52746343475017,4.62129372366143,4.57974645105466,4.67802826925663,1.01576070051216,0.21475,1262.14741861163,0.2325,"metaG"
151,21194,774,10,4.06316665736942,0.192196089162399,5.05050505050505,0.899808230828572,0.6179465049861,1.46853043971385,0.40785625993864,0.198632292157683,1.28426412788556,4.32169999555878,4.27269889780559,4.4006692028465,1.01648541010516,0.46275,738.455255813228,0.76275,"metaG"
152,100535,2580,10,0.429950467547665,0.42052238089061,0.430030064833533,0.202523223359349,0.181884590205681,0.223359498676383,-2.53342198991436,-2.54982175526328,-2.47342373687945,5.11985616297114,4.99775160165663,5.44108429223934,1.05466243094818,0.00025,2547.36492299287,0.00275,"metaG"
155,3054804,51744,10,2.26198080664796,2.19404269116081,2.29806356101801,0.601033305543696,0.570654789330194,0.629125578547136,0.843564345009197,0.828974008325483,0.864085954686448,6.37005248414845,6.35226248366039,6.40120855115886,1.01573749410974,0.00025,50332.1927536089,0.91725,"metaG"
158,285061,10917,10,0.333959602280569,0.325552123981069,0.340173570202558,0.947347865081728,0.910069822103264,0.989543101023718,-0.318208446713399,-0.863089896778456,-0.169587632467026,5.34924568666607,5.33594037145031,5.36885374787643,1.02568972485355,0.00025,10301.6271776569,0.00025,"metaG"
168,58041,1419,10,0.130329465313362,0.121064686850307,0.144329505128823,0.338991125268745,0.203468575600363,0.557560325051428,0.890514831840366,0.546187777254767,1.16088768471565,4.84598290970111,4.74181375695379,5.07286504925437,1.02947326139212,0.00375,1378.18868943845,0.06,"metaG"
173,8989897,123737,10,0.215073880986751,0.2143836806063,0.21534605814852,0.476574889906925,0.472574915935627,0.482545534016742,1.64627720908069,1.63834388385685,1.65443964513154,6.99306875432201,6.97079926345384,7.04151406950358,1.03411821013737,0.00025,122887.788480688,0.00025,"metaG"
175,4974303,43715,10,1.42409725869271,1.24858679491987,1.5800107486422,0.719618482977742,0.680432905504807,0.765543965556068,1.35140896403067,1.3079687653306,1.4109748006806,6.43756306021674,6.42133386882497,6.46673045353835,1.01214818066641,0.00025,42880.4167993661,0.995,"metaG"
