station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
76,11,68797,519,68677,507,1.5507820120515188,1.2852933977264243,2.0176532135935523,1.8842951343232692,1.7603725173781555,2.039183701791949,4.865677436225649,4.749763715935102,5.074171956915264,0.019572511488783917,0.798,0.613245344935427,0.895
78,18,77631,374,76446,282,1.0988225143149928,0.8840784565768076,1.46286726139493,1.7079216013329064,1.547640008085418,1.8948835979615508,4.892605899476775,4.623799790305318,5.4984459507215915,0.024759344861793653,0.85,0.638065942853694,0.623
80,145,1903758,8077,1653716,2751,2.5065937937003504,2.2084952048191364,2.8993274248967547,2.8472477619507566,2.771101880730752,2.9298832559171855,6.225768069519627,6.2006726032015855,6.254554070631948,0.010956871964600504,0.526,0.731900628403061,0.271
81,14,237523,1005,235391,816,0.6901340443869426,0.6203650848395804,0.7787972450715384,1.1236883838355916,1.0308517144696399,1.2348488033406535,6.108875295700036,5.4173577851720225,7.651120456082772,0.01992601009342676,0.371,1.440379640940387,0.454
82,47,403572,1462,386245,703,0.9793540214432146,0.8598596244750851,1.1497816728214938,1.9588755054646743,1.8539198134272088,2.082634616114295,5.808994479179292,5.50809970421727,6.550266897293981,0.019815422128236282,0.558,0.6757812031875806,0.413
84,87,17062109,41643,16475748,26583,2.271459883850877,2.1874128141826708,2.366173342801363,2.834597599470253,2.812142566449637,2.859692025261028,7.219572065804845,7.20862371421042,7.231386118580101,0.007315136790671306,0.002,1.7109573281669168,0.002
85,74,21002605,31165,20732406,23356,2.164065068669287,2.0821589758412697,2.26296163610588,2.9729431584561086,2.949247354925433,2.9979451140557765,7.313387506655852,7.299215597475463,7.329024440348476,0.015996822702225244,0.001,3.0296005456570234,0.001
92,17,386463,4780,369512,3432,1.3756611504491705,1.27168817877151,1.4982806752169395,1.5911685867033132,1.5368933251157155,1.6485956924553735,5.59878054905243,5.517268558988293,5.7627148717296395,0.010605473500932328,0.267,2.1713170020088817,0.465
98,31,74707,304,72921,211,1.3849558119099559,1.0634024399327964,2.0620486769013433,2.163760721044145,1.9726367299441165,2.4280843090927893,4.880641508340652,4.6980729070796885,5.206552427736756,0.023125276670646455,0.967,0.470433410558854,0.857
100,28,350943,3782,328118,2434,1.5637049014644628,1.428904219018106,1.7540365919786571,1.8295276095212116,1.769369014220195,1.9046238818921128,5.55088248956069,5.491123396111151,5.671402013349777,0.008650202485452174,0.859,1.302514659745007,0.639
102,92,571262,1649,534032,592,1.2274483438560746,1.0432858723943748,1.4910726825433,2.4193077074121496,2.300553155392975,2.5455058016835768,5.7890291613482185,5.613095032404698,6.209009891781148,0.02273192657823686,0.527,0.6376882223684108,0.397
109,10,114991,1115,114991,1115,1.2005918851887214,1.0697898974313127,1.3777529102192383,1.5021017326064219,1.4176016197888195,1.5981438943556168,5.182267537612525,5.0195531836498155,5.566773873594294,0.020319760992632663,0.138,1.249535044844179,0.817
110,10,76322,593,76322,593,1.2026026395068643,1.0179302531610674,1.468096389102281,1.6119048416044728,1.4925217383091025,1.739348071172462,4.994767700481255,4.800363034204215,5.409057116059824,0.018192083577393436,0.786,0.8997060812481266,0.533
