station,mu_KS,N_10,S_10,N_KS,S_KS,alpha,alpha_low,alpha_high,logk,logk_low,logk_high,logN_mean,logN_low,logN_high,KS,p_KS,AD,p_AD
92,24,315020,11244,194222,2622,1.0925086041309067,1.0129792713048233,1.1847071463868601,1.109040576031309,1.050394027642461,1.1712615380288411,5.457400681092693,5.294852650841889,5.987703426301683,0.012795973489018286,0.163,3.987586764308519,0.109
98,46,25792,490,18841,131,3.19413107273205,1.8735522378173735,16.859194443902474,2.3328453157919933,2.0037668935288,3.1366706353656517,4.271866116026782,4.201524795516881,4.367381081372105,0.03598224541751888,0.869,0.6997190683282214,0.322
100,74,519765,7533,387350,1069,1.114074556006579,0.9930336791211847,1.2784133630568502,1.9149183229816344,1.8347711136603648,2.012404570426872,5.753059616789003,5.558570489740594,6.334681813179886,0.015563972497376954,0.642,0.741890300633678,0.527
102,85,640313,4714,545138,1191,1.2612745932019847,1.129468756665894,1.4487084207588121,2.0959922892101757,2.016497845440792,2.1988096271290813,5.772307060045487,5.650609258984527,6.062491749882928,0.011413124307167899,0.935,0.5518298733785689,0.912
109,10,109153,3246,109153,3246,1.2221919017515566,1.1351881687133258,1.3279325148015877,0.8657967402686653,0.8176429748770012,0.9223264697301135,5.093822417141526,4.994066270985907,5.359388429508208,0.011197858732564125,0.122,7.303778496182812,0.481
110,17,273924,3946,256924,2569,1.3689955306348893,1.2555957378155025,1.51967172906132,1.5180807832443841,1.457506969806459,1.5867446119703814,5.420760094079908,5.3292201582470335,5.668479997379165,0.010907849196421182,0.44,2.0967204907576362,0.639
111,35,159886,2820,127650,990,1.7010945107176512,1.4638428694797285,2.02969974446997,1.8653481372640959,1.7653287313005346,1.9797775445907342,5.136356135653461,5.073235592144024,5.230108337214208,0.010843866288966442,0.979,0.7633911603392952,0.977
122,37,1377896,11189,1241370,2839,1.0333551759257489,0.9626527371515217,1.115090144378954,1.7038453077907205,1.6477350737628278,1.7624818244943075,6.119670487461601,5.914042417333598,6.673050412356967,0.009000029491412764,0.719,1.2803546276218083,0.498
123,10,672080,13332,672080,13332,1.1818208037959863,1.1382996679519937,1.2275535969002944,0.8636933256483522,0.8364540150155033,0.8924100851091934,5.773307692262176,5.678461900682388,6.053682863555156,0.014145844919902895,0.001,14.495145201451363,0.279
124,19,569283,4588,545369,2748,1.1789992986880575,1.0869007756977487,1.2844622406216144,1.5463854989747006,1.4852935976651882,1.6035539973721356,5.683806639335747,5.547636593266717,6.074240262020227,0.011770551804111795,0.262,1.9109688063879136,0.334
