"station"	"latitude"	"longitude"	"depth_category"	"depth_nominal"	"month"	"SSD"	"temp_woa"	"sal_woa"	"no3_woa"	"po4_woa"	"sioh4_woa"	"dco"	"dcu"	"dfe"	"dzn"
123	-8.9068	-140.283	"SUR"	5	7	703.5	27.3440203918457	35.4206123352051	3.54471635818481	0.399269342422485	1.14813756942749	6.653	0.5	0.005	0.691
124	-9.1504	-140.5216	"SUR"	5	8	704.5	27.8018465272827	35.5317993164062	2.30720186233521	0.486854493618011	0.469304233789444	6.633	0.498	0.01	0.692
125	-8.9111	-142.5571	"SUR"	5	8	706	27.5979778190612	35.4763107299805	3.01191782951355	0.453577309846878	0.614605903625488	6.296	0.489	0.005	0.683
126	-11.9873	-151.05	"SUR"	5	8	710	28.3940595565796	35.8194999694824	0.876356363296509	0.384613454341888	1.23783004283905	5.396	0.461	0.016	0.678
127	-6.6499	-152.4243	"SUR"	5	8	719	27.2684215242004	35.4897880554199	4.38895988464355	0.592574596405029	2.89437913894653	5.775	0.461	0.005	0.673
128	3e-04	-153.6759	"SUR"	5	9	727	26.711433079834	35.1443901062012	1.88445496559143	0.363440603017807	2.56428933143616	11.318	0.586	0.011	0.767
129	6.671	-153.0658	"SUR"	5	9	731.5	27.8625476704101	34.5035018920898	0.548496961593628	0.217992097139359	0.8330357670784	5.189	0.39	0.025	0.64
130	11.2723	-152.3711	"SUR"	5	9	733	27.0066939633179	34.1591987609863	0.0208247750997543	0.227319300174713	0.0517660602927208	4.369	0.361	0.044	0.638
131	22.7598	-157.9568	"SUR"	5	9	718.5	24.9392525588989	35.1075897216797	0.0233355816453695	0.064152680337429	1.59931576251984	6.719	0.377	0.303	0.656
132	31.5213	-158.9958	"SUR"	5	10	707	21.281163252594	35.1104888916016	0.0383353307843208	0.0562953427433968	2.02075433731079	12.145	0.652	0.123	0.838
133	35.2698	-127.7268	"SUR"	5	10	674	15.9003097190857	33.0634117126465	0.0192470084875822	0.357989549636841	1.01091349124908	18.788	0.762	0.205	0.896
135	32.931	-121.8645	"SUR"	5	10	668.5	15.3192216087342	33.3315887451172	0.0225871149450541	0.309364289045334	1.89828586578369	41.332	1.031	1.123	1.105
136	17.0854	-118.8913	"SUR"	5	11	671.5	25.3000749682007	34.3111114501953	0.275108695030212	0.189155146479607	3.69663763046265	21.003	0.656	0.314	0.806
137	14.2035	-116.6261	"SUR"	5	12	681	27.4797528795166	33.8307113647461	0.566930830478668	0.203113734722137	2.39960289001465	22.148	0.685	0.273	0.808
138	6.3332	-102.9432	"SUR"	5	12	706	27.6068650744629	33.4410018920898	2.97005796432495	0.285649538040161	5.08116769790649	12.225	0.61	0.102	0.777
139	6.4998	-94.9527	"SUR"	5	12	705	27.9898093223877	33.1175117492676	0.191363334655762	0.395632386207581	7.2331109046936	20.755	0.765	0.154	0.85
140	7.4122	-79.3017	"SUR"	5	12	702	27.0142841697998	29.6201992034912	0.107968993484974	0.261302977800369	6.88158941268921	-999	-999	-999	-999
141	9.8481	-80.0454	"SUR"	5	12	694	27.7610922779541	35.6652984619141	9.62674808502197	0.0162345003336668	4.52868747711182	74.544	0.805	3.182	0.798
142	25.6236	-88.45	"SUR"	5	1	638.5	26.7663404786377	36.3196868896484	0.993252158164978	0.127447098493576	2.6985650062561	59.914	0.772	1.895	0.776
143	29.6394	-79.5395	"SUR"	5	1	627.5	26.6836834579468	36.2320899963379	0.634768307209015	0.194061785936356	1.15417659282684	61.059	0.791	2.062	0.783
144	36.4121	-72.9289	"SUR"	5	1	620.666666666667	24.1018375183105	35.9468116760254	1.14337694644928	0.227994948625565	1.36659240722656	54.394	0.818	1.735	0.876
145	39.2305	-70.0377	"SUR"	5	2	615	17.4135448759766	34.4585876464844	3.97980666160583	0.544934093952179	4.39359569549561	49.691	0.961	1.637	1.546
146	34.6712	-71.3093	"SUR"	5	2	656.5	22.7890142584229	36.5710105895996	0.425611138343811	0.184928268194199	1.22341120243073	50.034	0.808	1.581	0.84
147	33.061	-66.5435	"SUR"	5	2	666.5	22.630279166626	36.6066131591797	0.831734240055084	0.0987584665417671	0.858538329601288	40.784	0.81	1.307	0.852
148	31.6948	-64.2489	"SUR"	5	2	680	23.4390902944946	36.6280097961426	0.219476997852325	0.0453613251447678	0.745433986186981	38.305	0.821	1.26	0.875
149	34.0964	-49.8906	"SUR"	5	3	688.5	22.0374231130981	36.546501159668	0.766557455062866	0.0467686578631401	2.49832606315613	30.596	0.882	0.977	0.994
150	35.9346	-37.3032	"SUR"	5	3	695	20.1542640296936	36.4330101013184	0.254473030567169	0.0927563160657883	1.6914119720459	24.015	0.936	0.61	1.107
151	36.1375	-28.935	"SUR"	5	3	704	20.1084889342651	36.2285003662109	0.652129948139191	0.191352277994156	0.800506234169006	20.411	0.949	0.333	1.146
152	43.6792	-16.8344	"SUR"	5	3	727	16.1493523604584	35.8082122802734	4.65578603744507	0.276552587747574	3.00969314575195	24.733	0.991	0.341	1.336
155	54.5305	-16.9377	"SUR"	5	5	994.333333333333	11.9413306484985	35.4092903137207	5.13444328308105	0.273567736148834	1.09124064445496	33.608	1.048	0.479	1.635
158	67.1675	0.2177	"SUR"	5	6	1440	7.85960493936157	35.1738891601562	4.47728061676025	0.407167464494705	3.99480390548706	54.273	1.019	0.282	1.373
